,Text
0,"RT @sculpturejay: 🐆should we talk about i-land?
🦮there are surprisingly a lot of people who like i-land
🐆looking back we wouldnt be here if…"
1,"RT @abetokhi: Yes suicide is haram but making
someones life miserable to the point
that they wanna take their life is also
very haram. Watc…"
2,"RT @geezybeatz145__: I am stressed, I am depressed here we go again, I need somebody to talk to😩."
3,RT @MillsReggie: always learn how to be strong alone.
4,@CATARllNA Should I add another one then? 🤔
5,"RT @evalution_music: If you wanna see me at bass canyon or lost lands fill out this survey thingy and vote for me to be prom king

https://…"
6,"This is the underside of my world.Of course you don’t want me to be stupid, bles.
◥ ツ كؤد IخُصمI ツ ◤ IنونI""
IسيفيII… https://t.co/6jX1wPiJrH"
7,"RT @empresslexiii: I dont care if you are working, I dont care if you are at the mall, I want your brain to be filled with my poison by edg…"
8,"RT @Bryan62784488: Within the New York State Park Police alone 159 officers have been lost since 2014, 85% of those were to resignations no…"
9,I'm literally tired
10,"@Salifyanji_ 🤣🤣🤣 yea? I knew it would as him just by the voice alone
It was a clever cameo 
Most seemed to have missed it"
11,Are you alone in bed???
12,@mrchainsawtrio @theRoddick @KathyAlbaBerge1 @pudgenet @mel_awesome @TheFemBat_ @PanicMixi Look at the stupid littl… https://t.co/EQ8DE2JWyW
13,@jarrelktm As I should !! 🤣
14,"@weikum_paleface @DMRegister Lololololol this is the 15th suit against her, and she’s lost all her appeals. Let’s g… https://t.co/6Ffra52szJ"
15,"Gusto ko lang manood ng mga series + films for like, a week without doing anything else. Pero, when I'm in front of… https://t.co/8J659fzyau"
16,"RT @Kiss_My_Mask: Our tendency is to wonder, “Why should I forgive and forget?” Several reasons! Firstly, because God’s Word tells you to d…"
17,"RT @meerfaisal01: He was taken to Mahendru Hospital and then was shifted to DDU hospital, where he was declared dead on arrival,” Nargis sa…"
18,RT @pbg_lynn: i know i overthink but i also know i’m not stupid.
19,"RT @Strandjunker: I feel like the fact that Peter Navarro, Steve Bannon, Paul Gosar, and Ted Cruz recruited 100 members of Congress to over…"
20,"My insecure, nervous, and anxiety make me stunned to speak"
21,"RT @UTDTrey: After adding Ronaldo, Varane and Sancho, who would have thought by December we'll be out of the title race and unsure if we'll…"
22,"RT @Devereaux_RBW: I have a really bad cold. My mum just called and said I should test for omicron, saying the symptoms are exactly like a…"
23,"my hamu was a SIMP what should I do #iolyfe
don't turn on the sound ww https://t.co/YaxrjB6fJs"
24,RT @birgitomo: My heart is really hurting because I know patients are suffering. I see it. The nurses showing up are broken and tired. Yes…
25,"@WestHamMatters @legalclaret Neither did I, but I could work out it was the ground where we lost the test and the ashes"
26,RT @ScarlettMiracle: this part kicks ass https://t.co/luvwhVZ5SB
27,RT @ramprasad_c: Case in point: Farmer suicide gets a lot of attention though suicide rates among farmers are lower than general population…
28,"RT @titaTeacher_K: WHEN HE DROPS GIFT, IT'S A SIGN OR SHOULD I SAY A REMINDER TO EVERYONE THAT HE IS WITH BELLE ALL THE TIME, HE IS MONITOR…"
29,"@mtgreenee And the I was like that's so cool, and he said no its grody, maybe we should go hang out at the mall and… https://t.co/Aot5KioUDL"
30,@DorisGrinspun @tylerwatt90 @fordnation @celliottability @MacLeodLisa @CBCAlerts @cbcallinaday @CTV_AvisFavaro… https://t.co/jqDN2rajq1
31,RT @jyagger2: Lost Empires(1986) https://t.co/XOr1SYnrcT
32,RT @USBornNRaised: Everyone should agree!
